,positive_value,index,k
533,53.75,28.0,5.0
534,54.54,29.0,5.0
535,53.26,30.0,5.0
536,52.15,31.0,5.0
537,47.39,32.0,5.0
538,47.74,33.0,5.0
539,49.29,34.0,5.0
540,45.61,35.0,5.0
541,48.32,36.0,5.0
542,49.46,37.0,5.0
543,48.41,38.0,5.0
544,42.6,39.0,5.0
545,51.38,40.0,5.0
546,48.2,41.0,5.0
547,41.86,42.0,5.0
548,50.35,43.0,5.0
549,57.24,0.0,6.0
550,55.96,1.0,6.0
551,53.67,2.0,6.0
552,53.74,3.0,6.0
553,49.8,4.0,6.0
554,52.93,5.0,6.0
555,51.06,6.0,6.0
556,51.1,7.0,6.0
557,50.52,8.0,6.0
558,46.98,9.0,6.0
559,55.7,10.0,6.0
560,54.46,11.0,6.0
561,52.28,12.0,6.0
562,54.45,13.0,6.0
563,53.62,14.0,6.0
564,47.01,15.0,6.0
565,50.51,16.0,6.0
566,46.47,17.0,6.0
567,50.71,18.0,6.0
568,48.64,19.0,6.0
569,54.51,20.0,6.0
570,55.23,21.0,6.0
571,54.84,22.0,6.0
572,54.17,23.0,6.0
573,52.6,24.0,6.0
574,50.09,25.0,6.0
575,46.44,26.0,6.0
576,49.41,27.0,6.0
577,47.18,28.0,6.0
578,46.77,29.0,6.0
579,51.83,30.0,6.0
580,42.24,31.0,6.0
581,51.75,32.0,6.0
582,41.76,33.0,6.0
583,49.64,34.0,6.0
584,56.74,0.0,7.0
585,56.12,1.0,7.0
586,54.77,2.0,7.0
587,49.41,3.0,7.0
588,52.43,4.0,7.0
589,52.68,5.0,7.0
590,49.5,6.0,7.0
591,48.68,7.0,7.0
592,54.82,8.0,7.0
593,54.65,9.0,7.0
594,51.72,10.0,7.0
595,53.74,11.0,7.0
596,50.0,12.0,7.0
597,50.98,13.0,7.0
598,46.95,14.0,7.0
599,50.08,15.0,7.0
600,54.4,16.0,7.0
601,54.44,17.0,7.0
602,54.78,18.0,7.0
603,54.36,19.0,7.0
604,52.81,20.0,7.0
605,47.73,21.0,7.0
606,47.56,22.0,7.0
607,48.29,23.0,7.0
608,47.69,24.0,7.0
609,50.83,25.0,7.0
610,46.32,26.0,7.0
611,50.79,27.0,7.0
612,46.2,28.0,7.0
613,55.89,0.0,8.0
614,55.79,1.0,8.0
615,52.34,2.0,8.0
616,53.16,3.0,8.0
617,51.32,4.0,8.0
618,51.51,5.0,8.0
619,49.47,6.0,8.0
620,54.67,7.0,8.0
621,51.95,8.0,8.0
622,54.6,9.0,8.0
623,50.0,10.0,8.0
624,50.07,11.0,8.0
625,48.88,12.0,8.0
626,49.47,13.0,8.0
627,54.35,14.0,8.0
628,55.15,15.0,8.0
629,54.02,16.0,8.0
630,52.85,17.0,8.0
631,47.38,18.0,8.0
632,48.76,19.0,8.0
633,46.6,20.0,8.0
634,49.09,21.0,8.0
635,46.45,22.0,8.0
636,49.47,23.0,8.0
637,47.64,24.0,8.0
638,56.69,0.0,9.0
639,55.3,1.0,9.0
640,52.83,2.0,9.0
641,51.86,3.0,9.0
642,51.65,4.0,9.0
643,49.59,5.0,9.0
